Sl No,Company Name,Email ID,Category,Page
1,ABN IMPEX PVT LTD,"sales@abnimpex.com, purchase@abnimpex.com",Natural Rubber Exporters,3
2,AGN EXPORTS & ENTERPRISES,agneekch@gmail.com,Natural Rubber Exporters,3
3,ALFA CHEMICALS,chemalfa@yahoo.com,Natural Rubber Exporters,3
4,ALPHARUB TRADING AND MANUFACTURING PVT. LTD,rajiv@alphacmd.com,Natural Rubber Exporters,3
5,ALWAYE AGENCIES,alwayeagencies@yahoo.com,Natural Rubber Exporters,4
6,ALWAYE RUBEX PRIVATE LTD.,alwayerubex@yahoo.com,Natural Rubber Exporters,4
7,ALWAYE TECHNO RUBBERS PVT LTD,atrubbers@rediffmail.com,Natural Rubber Exporters,4
8,ANIL RUBBERS,"anilrub@eth.net, anilrubbers@gmail.com",Natural Rubber Exporters,4
9,A.N.RUBBERS,ptn22000@yahoo.co.in,Natural Rubber Exporters,5
10,ARASU RUBBER CORPORATION LTD,arcngl@sancharnet.in,Natural Rubber Exporters,5
11,ASHOK TRADE LINKS,"ashokindiagroup@gmail.com, ashokkerala1967@gmail.com",Natural Rubber Exporters,5
12,ASHVIN RUBBERS,ashvinrubbers@yahoo.com,Natural Rubber Exporters,5
13,A.V.THOMAS & CO. LTD.,avtcok@eth.net,Natural Rubber Exporters,6
14,BASIL RUBBER FACTORY (P) LTD,brfbasil@yahoo.com,Natural Rubber Exporters,6
15,BEETA RUBBERS,beetasajeev@yahoo.co.in,Natural Rubber Exporters,6
16,BEN ROSH,benrosh@eth.net,Natural Rubber Exporters,6
17,BLACK STAR EXPORTS,"blackstar@satyam.net.in, blackstar@sify.com",Natural Rubber Exporters,7
18,BRITE RUBBER PROCESSOR PVT LTD,briterubber@gmail.com,Natural Rubber Exporters,7
19,CEYENAR RUBBERS,rubchem@ceyenar.com,Natural Rubber Exporters,7
20,COMORIN POLYMERS AND PLANTATIONS (P) LTD,vtc@ooppoottil.com,Natural Rubber Exporters,7
21,CONTINENTAL COMMODITIES PVT LTD,"ccplvaly@rediffmail.com, ccpl@valygroup.com",Natural Rubber Exporters,8
22,COSMO ELECTRICALS,h.agarwal@yahoo.com,Natural Rubber Exporters,8
23,CRESCENT CRUMBS (P) LTD,N/A,Natural Rubber Exporters,8
24,DENNY THOMAS   MALETHUSSERIL,denny.thomas@boaaz.com,Natural Rubber Exporters,8
25,EDATHALA POLYMERS (P) LTD,edathala.polymers@gmail.com,Natural Rubber Exporters,9
26,EVE TANNERS,eveleather@hotmail.com,Natural Rubber Exporters,9
27,FLEXILIS PVT LTD,bhupesh@flexilis.in,Natural Rubber Exporters,9
28,GAYATRI MULTITRADE (P) LTD,gayatri.chemical@gmail.com,Natural Rubber Exporters,9
29,GEEKAY TRADING SYNDICATE,gktrading2796@gmail.com,Natural Rubber Exporters,10
30,HARISONS MALAYALAM LTD,"anup@harrisonsmalayalam.com, rubbersales@harisonsmalayalam.com",Natural Rubber Exporters,10
31,HEVEA CRUMB RUBBER (P) LTD,"hevea@eth.net, hevea@heveacrumb.com",Natural Rubber Exporters,10
32,HINDUSTAN RUBBER TRADING CO,hrtccalicut@gmail.com,Natural Rubber Exporters,10
33,IDEAL CRUMB RUBBER FACTORY,"info@idealcrumb.com, idealcrumb@indiatimes.com",Natural Rubber Exporters,11
34,IDUKKI RUBBERS (P) LTD,idukkicenex@sify.com,Natural Rubber Exporters,11
35,INDRAJE LATEX,indrajelatex@gmail.com,Natural Rubber Exporters,11
36,IND RUBBER TRADERS,malaya@sancharnet.in,Natural Rubber Exporters,11
37,JAIN ENTERPRISES,jainenterprises77@gmail.com,Natural Rubber Exporters,12
38,J.B.R.EXPORTS,jbrexportskkdistrict@gmail.com,Natural Rubber Exporters,12
39,J & J TRADE LINKS,"joy@jjtradelinks.com, ktmjtrade@sancharnet.in",Natural Rubber Exporters,12
40,JOSEPH RUBBERS (INDIA) PVT LTD,"josephrubbers@gmail.com, josephrubbers@yahoo.com",Natural Rubber Exporters,12
41,JOSE & COMPANY,N/A,Natural Rubber Exporters,13
42,JMF SYNTHETICS INDIA PRIVATE LTD,N/A,Natural Rubber Exporters,13
43,KARAKKATTU AGENCIES,karakkattuagencies@gmail.com,Natural Rubber Exporters,13
44,KAVANAR LATEX (P) LTD,"kavanar@satyam.net.in, info@kavanar.com",Natural Rubber Exporters,13
45,K.E.MOHAMED,kocheert@gmail.com,Natural Rubber Exporters,14
46,KERALA STATE CO-OP MARKETING FEDERATION LTD.,md@marketfed.com,Natural Rubber Exporters,14
47,KOLLAMKULAM RUBBERS (P) LTD,kollamkulam@vsnl.com,Natural Rubber Exporters,14
48,K.S. SARATH CHANDRAN,N/A,Natural Rubber Exporters,14
49,KURIAN ABRAHAM (PVT) LTD,info@ooppootil.com,Natural Rubber Exporters,15
50,MALANADU LATEX (INDIA) PVT LTD,info@malanadulatex.com,Natural Rubber Exporters,15
51,MALANADU TRADES,info@malanadulatex.com,Natural Rubber Exporters,15
52,MALAYA RUB - TECH INDUSTRIES,"malaya@malayaindia.com, malayaindia@gmail.com",Natural Rubber Exporters,16
53,MAMPARAMBIL AGENCIES,jayjaytread@gmail.com,Natural Rubber Exporters,16
54,MARIA RUBBER LINKS,ktmjjtrade@sancharnet.in,Natural Rubber Exporters,16
55,MACHINERY AGENCIES (INDIA),bkchopra-maindia@gmail.com,Natural Rubber Exporters,16
56,METRO TRADING SYNDICATE,metro110@md3.vsnl.net.in,Natural Rubber Exporters,17
57,MEZ COMTRADE,mezcomtrade@gmail.com,Natural Rubber Exporters,17
58,MOUNT VELOOR RUBBER WORKS PVT. LTD.,"mountveloor@rediffmail.com, mountveloor@gmail.com",Natural Rubber Exporters,17
59,NARMADA VALLEY RUBBERS PVT LTD,kurianjo@narmada.rubber.com,Natural Rubber Exporters,17
60,NATIONAL AGRICULTURAL CO-OPERATIVE,nafedp@coop.nic,Natural Rubber Exporters,18
61,NECHIKATTU ENTERPRISES,mail@nechikattu.com,Natural Rubber Exporters,18
62,NJAVALLIL LATEX (P) LTD.,njavallil@gmail.com,Natural Rubber Exporters,18
63,PALA MARKETING CO-OP SOCIETY LTD. NO 4214,"indiar@palamarketing.com, ktm_indiar@sancharnet.in, president@palamarketing.com",Natural Rubber Exporters,18
64,PALAZHY LATEX PVT. LTD.,palazhylatex@rediffmail.com,Natural Rubber Exporters,19
65,PERIYAR LATEX LTD.,"periyarlatex@gmail.com, periyarlatex@satyam.net.in",Natural Rubber Exporters,19
66,PIONEER LATEX INDUSTRIES,"pioneerlatex@yahoo.com, shanavazpk@yahoo.co.in",Natural Rubber Exporters,19
67,PNR IMPEX,pnrimpex@gmail.com,Natural Rubber Exporters,19
68,PRASAND JACOB ABRAHAM,prasandjacob@yahoo.com,Natural Rubber Exporters,20
69,PULIMOOTTIL ENTERPRISES,pulimootiljo@rediffmail.com,Natural Rubber Exporters,20
70,RBG TRADING CORPORATION (P) LTD,rajkumar@rbgcommodities.com,Natural Rubber Exporters,20
71,R1 INTERNATIONAL (INDIA) PVT LTD,"john@r1international.com, vinay@r1international.com",Natural Rubber Exporters,20
72,ROCKEY  C  NEROTH,n_rubber@sify.com,Natural Rubber Exporters,21
73,ROYAL  LATEX  PVT  LTD,"rijo@royallatex.com, info@royallatex.com",Natural Rubber Exporters,21
74,RUBBER INDIA,rubberindia2011@gmail.com,Natural Rubber Exporters,21
75,SEASON RUBBERS (P) LTD,"info@seasonrubbers.com, seasonrubber@sify.com",Natural Rubber Exporters,21
76,SEASON TRADING CO,"kappan@sify.com, kappan@satyam.net.in",Natural Rubber Exporters,22
77,SHIJA RUBBERS,N/A,Natural Rubber Exporters,22
78,SILVERSTONE EXPORTS,ssrubbers@silverstonerubber.com,Natural Rubber Exporters,22
79,SILVER STONE MKP POLYMERS PVT LTD,mkp@silverstonerubber.com,Natural Rubber Exporters,22
80,SILVER STONE RUBBER INDIA PVT LTD,"ssrubber@silverstonerubber.com, silverstonerub@eth.net",Natural Rubber Exporters,23
81,SPECIFIED RUBBER PVT LTD,spec_rubber@yahoo.com,Natural Rubber Exporters,23
